PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,FacilityInspireId,facilityName,city,Longitude,Latitude,addressConfidentialityReason,TargetRelease,Pollutant,Releases,confidentialityReason
2026/02/13,Sweden,2013,4.0,Chemical industry,4(b)(iv),SE.CAED/10021290.Facility,"Yara AB, Köpingsfabriken",KÖPING,16.00974,59.49714,,AIR,Ammonia (NH3),10200.0,
2026/02/13,Sweden,2009,7.0,Intensive livestock production and aquaculture,7(a)(ii),SE.CAED/10019264.Facility,Horshaga,VEDUM,12.97133,58.19988,,AIR,Ammonia (NH3),15800.0,
2026/02/13,Norway,2011,4.0,Chemical industry,4(b)(v),NO.EEA/192327.FACILITY,Washington Mills AS,Orkanger,9.820811,63.3123741,,AIR,"Benzo(g,h,i)perylene",1.7,
2026/02/13,Denmark,2023,3.0,Mineral industry,3(c)(i),DK.CAED/000105786.FACILITY,Aalborg Portland A/S,Aalborg Øst,9.972783690408685,57.0632413325794,,AIR,Sulphur oxides (SOX),577000.0,
2026/02/13,Sweden,2009,6.0,Paper and wood production and processing,6(a),SE.CAED/10020366.Facility,Skoghalls Bruk,SKOGHALL,13.43826,59.31854,,AIR,Nitrogen oxides (NOX),502000.0,
2026/02/13,Sweden,2014,7.0,Intensive livestock production and aquaculture,7(a)(ii),SE.CAED/10015222.Facility,Hageby,BORGHAMN,14.75833,58.40555,,AIR,Ammonia (NH3),12600.0,
2026/02/13,Sweden,2013,6.0,Paper and wood production and processing,6(a),SE.CAED/10024718.Facility,SCA Munksunds pappersbruk,PITEÅ,21.50386,65.27232,,AIR,Carbon dioxide (CO2),622000000.0,
2026/02/13,Denmark,2009,1.0,Energy sector,1(c),DK.EEA/1513.FACILITY,Vattenfall A/S                   Fynsværket,Odense C            ,10.4102116826366,55.4294116608398,,AIR,Sulphur oxides (SOX),447000.0,
2026/02/13,Sweden,2021,6.0,Paper and wood production and processing,6(a),SE.CAED/10022227.Facility,Iggesunds Bruk,IGGESUND,17.09807,61.63863,,AIR,Carbon dioxide (CO2),887000000.0,
2026/02/13,Denmark,2017,1.0,Energy sector,1(c),DK.CAED/000106181.FACILITY,Avedøreværket,Hvidovre,12.48152777031473,55.60399886511819,,AIR,Fluorine and inorganic compounds (as HF),7700.0,
2026/02/13,Sweden,2011,2.0,Production and processing of metals,2(b),SE.CAED/10014660.Facility,SSAB EMEA AB Oxelösund,OXELÖSUND,17.12562,58.67695,,AIR,Zinc and compounds (as Zn),570.0,
2026/02/13,Sweden,2018,7.0,Intensive livestock production and aquaculture,7(a)(ii),SE.CAED/10015259.Facility,Appuna,VÄDERSTAD,14.96332,58.34601,,AIR,Ammonia (NH3),31900.0,
2026/02/13,Denmark,2024,1.0,Energy sector,1(c),DK.CAED/000104657.FACILITY,Herningværket,Herning,9.006448600427822,56.12173431518647,,AIR,Sulphur oxides (SOX),2506.871,
2026/02/13,Denmark,2008,3.0,Mineral industry,3(g),DK.EEA/6166.FACILITY,TYCHSENS TEGLVÆRK A/S,Broager,9.65776122194557,54.9079289827299,,AIR,Fluorine and inorganic compounds (as HF),6370.0,
2026/02/13,Sweden,2018,4.0,Chemical industry,4(b)(v),SE.CAED/10022400.Facility,NORDIC CARBIDE Karbidfabriken Stockvik,SUNDSVALL,17.36672,62.33488,,AIR,Particulate matter (PM10),67300.0,
2026/02/13,Norway,2012,4.0,Chemical industry,4(a)(vi),NO.EEA/0814.0017.01.FACILITY,"Inovyn Norge AS, klor/VCM fabrikken, Rafnes",STATHELLE,9.58691,59.10155,,AIR,"1,2-dichloroethane (DCE-1,2)",10000.0,
2026/02/13,Sweden,2014,7.0,Intensive livestock production and aquaculture,7(a)(i),SE.CAED/10014621.Facility,Rösängs Lantbruk AB,ÅLBERGA,16.55854,58.72051,,AIR,Ammonia (NH3),23000.0,
2026/02/13,Sweden,2022,5.0,Waste and wastewater management,5(d),SE.CAED/10018317.Facility,Hässleholms Kretsloppscenter,HÄSSLEHOLM,13.70851,56.1978,,AIR,Methane (CH4),127000.0,
2026/02/13,Sweden,2016,6.0,Paper and wood production and processing,6(a),SE.CAED/10024717.Facility,Smurfit Westrock Piteå AB,PITEÅ,21.44037,65.31475,,AIR,Non-methane volatile organic compounds (NMVOC),868000.0,
2026/02/13,Sweden,2014,6.0,Paper and wood production and processing,6(a),SE.CAED/10022062.Facility,Gävle bruk,GÄVLE,17.26746,60.6811,,AIR,Particulate matter (PM10),417000.0,
2026/02/13,Denmark,2018,5.0,Waste and wastewater management,5(b),DK.CAED/000105540.FACILITY,THISTED VARMEFORSYNING A M B A,Thisted,8.712067013143768,56.965031400016414,,AIR,PCDD + PCDF (dioxins + furans) (as Teq),1.4e-05,
2026/02/13,Sweden,2011,2.0,Production and processing of metals,2(b),SE.CAED/10014660.Facility,SSAB EMEA AB Oxelösund,OXELÖSUND,17.12562,58.67695,,AIR,PCDD + PCDF (dioxins + furans) (as Teq),0.001,
2026/02/13,Denmark,2021,7.0,Intensive livestock production and aquaculture,7(a)(ii),DK.CAED/000097751.FACILITY,Ny Eskelund A/S,Gelsted,9.887725059716464,55.37168457845819,,AIR,Ammonia (NH3),20272.142,
2026/02/13,Sweden,2012,6.0,Paper and wood production and processing,6(a),SE.CAED/10022227.Facility,Iggesunds Bruk,IGGESUND,17.09807,61.63863,,AIR,Nitrogen oxides (NOX),639000.0,
2026/02/13,Sweden,2020,2.0,Production and processing of metals,2(a),SE.CAED/10024476.Facility,LKAB - Malmbergsgruvan,Malmberget,20.70867,67.19643,,AIR,Zinc and compounds (as Zn),389.0,
2026/02/13,Norway,2016,1.0,Energy sector,1(a),NO.EEA/1263.0002.01.FACILITY,Equinor avd. Mongstad raffineri,Mongstad,5.033256,60.8149376,,AIR,Carbon dioxide (CO2),1950000000.0,
2026/02/13,Sweden,2016,5.0,Waste and wastewater management,5(d),SE.CAED/10021206.Facility,Gryta avfallsanläggning,Västerås,16.54427,59.66614,,AIR,Methane (CH4),1280000.0,
2026/02/13,Sweden,2023,6.0,Paper and wood production and processing,6(a),SE.CAED/10022227.Facility,Iggesunds Bruk,IGGESUND,17.09807,61.63863,,AIR,Nitrogen oxides (NOX),588607.0,
2026/02/13,Denmark,2018,5.0,Waste and wastewater management,5(b),DK.CAED/000082396.FACILITY,BIOFOS  Spildevandscenter  Avedøre A/S,Hvidovre,12.450555085734148,55.60852620337333,,AIR,Lead and compounds (as Pb),0.08,
2026/02/13,Norway,2009,3.0,Mineral industry,3(a),NO.EEA/0000.0027.01.FACILITY,Njord,Stavanger,7.199765,64.2707062,,AIR,Methane (CH4),301000.0,
2026/02/13,Sweden,2019,4.0,Chemical industry,4(a)(i),SE.CAED/10018832.Facility,Borealis Krackeranl.,STENUNGSUND,11.82554,58.08325,,AIR,Carbon dioxide (CO2),632000000.0,
2026/02/13,Norway,2015,4.0,Chemical industry,4(a)(viii),NO.EEA/0805.0032.01.FACILITY,"Inovyn Norge AS, PVC fabrikken Porsgrunn",Porsgrunn,9.629603,59.1193466,,AIR,Vinyl chloride,24300.0,
2026/02/13,Sweden,2011,2.0,Production and processing of metals,2(a),SE.CAED/10024885.Facility,LKAB - Kirunagruvan,KIRUNA,20.19092,67.84939,,AIR,Ammonia (NH3),12000.0,
2026/02/13,Sweden,2019,3.0,Mineral industry,3(c)(iii),SE.CAED/10016819.Facility,Kalkproduktion Storugns AB,LÄRBRO,18.80276,57.84205,,AIR,Carbon dioxide (CO2),101000000.0,
2026/02/13,Sweden,2010,7.0,Intensive livestock production and aquaculture,7(a)(i),SE.CAED/10015226.Facility,Broby,VADSTENA,14.84383,58.40712,,AIR,Ammonia (NH3),15500.0,
2026/02/13,Denmark,2021,7.0,Intensive livestock production and aquaculture,7(a)(iii),DK.CAED/000082940.FACILITY,GÅRDEJER H P PINDSTRUP,Skørping,9.83167225029291,56.85453842014682,,AIR,Ammonia (NH3),11632.0,
2026/02/13,Denmark,2007,7.0,Intensive livestock production and aquaculture,7(a),DK.EEA/2436.FACILITY,GÅRDEJER HANS HENNING KRAACK,Haderslev           ,9.66938762877035,55.2422808962597,,AIR,Ammonia (NH3),10900.0,
2026/02/13,Sweden,2024,1.0,Energy sector,1(c),SE.CAED/10015102.Facility,Händelöverket,NORRKÖPING,16.23333,58.61956,,AIR,Carbon dioxide (CO2),650750000.0,
2026/02/13,Denmark,2019,5.0,Waste and wastewater management,5(b),DK.CAED/000105787.FACILITY,Svendborg Kraftvarme P/S,Svendborg,10.608578025004949,55.05991919297627,,AIR,Particulate matter (PM10),411.0,
2026/02/13,Sweden,2007,4.0,Chemical industry,4(e),SE.CAED/10020914.Facility,Cambrex Karlskoga AB,KARLSKOGA,14.53556,59.346,,AIR,Nitrous oxide (N2O),24000.0,
2026/02/13,Denmark,2021,1.0,Energy sector,1(c),DK.CAED/000105110.FACILITY,TOTAL E&P Danmark A/S - Gorm,Esbjerg,4.76022128,55.5815499,,AIR,Nitrogen oxides (NOX),520403.0,
2026/02/13,Sweden,2016,6.0,Paper and wood production and processing,6(a),SE.CAED/10020389.Facility,Gruvöns bruk,GRUMS,13.12153,59.33827,,AIR,Particulate matter (PM10),50000.0,
2026/02/13,Norway,2016,1.0,Energy sector,1(a),NO.EEA/1263.0002.01.FACILITY,Equinor avd. Mongstad raffineri,Mongstad,5.033256,60.8149376,,AIR,Nickel and compounds (as Ni),112.0,
